ON_VS_PLAYER_NAME,ON_GP,ON_W,ON_L,ON_W_PCT,ON_MIN,ON_PCT_FGA_2PT,ON_PCT_FGA_3PT,ON_PCT_PTS_2PT,ON_PCT_PTS_2PT_MR,ON_PCT_PTS_3PT,ON_PCT_PTS_FB,ON_PCT_PTS_FT,ON_PCT_PTS_OFF_TOV,ON_PCT_PTS_PAINT,ON_PCT_AST_2PM,ON_PCT_UAST_2PM,ON_PCT_AST_3PM,ON_PCT_UAST_3PM,ON_PCT_AST_FGM,ON_PCT_UAST_FGM,ON_GP_RANK,ON_W_RANK,ON_L_RANK,ON_W_PCT_RANK,ON_MIN_RANK,ON_PCT_FGA_2PT_RANK,ON_PCT_FGA_3PT_RANK,ON_PCT_PTS_2PT_RANK,ON_PCT_PTS_2PT_MR_RANK,ON_PCT_PTS_3PT_RANK,ON_PCT_PTS_FB_RANK,ON_PCT_PTS_FT_RANK,ON_PCT_PTS_OFF_TOV_RANK,ON_PCT_PTS_PAINT_RANK,ON_PCT_AST_2PM_RANK,ON_PCT_UAST_2PM_RANK,ON_PCT_AST_3PM_RANK,ON_PCT_UAST_3PM_RANK,ON_PCT_AST_FGM_RANK,ON_PCT_UAST_FGM_RANK,OFF_GP,OFF_W,OFF_L,OFF_W_PCT,OFF_MIN,OFF_PCT_FGA_2PT,OFF_PCT_FGA_3PT,OFF_PCT_PTS_2PT,OFF_PCT_PTS_2PT_MR,OFF_PCT_PTS_3PT,OFF_PCT_PTS_FB,OFF_PCT_PTS_FT,OFF_PCT_PTS_OFF_TOV,OFF_PCT_PTS_PAINT,OFF_PCT_AST_2PM,OFF_PCT_UAST_2PM,OFF_PCT_AST_3PM,OFF_PCT_UAST_3PM,OFF_PCT_AST_FGM,OFF_PCT_UAST_FGM,OFF_GP_RANK,OFF_W_RANK,OFF_L_RANK,OFF_W_PCT_RANK,OFF_MIN_RANK,OFF_PCT_FGA_2PT_RANK,OFF_PCT_FGA_3PT_RANK,OFF_PCT_PTS_2PT_RANK,OFF_PCT_PTS_2PT_MR_RANK,OFF_PCT_PTS_3PT_RANK,OFF_PCT_PTS_FB_RANK,OFF_PCT_PTS_FT_RANK,OFF_PCT_PTS_OFF_TOV_RANK,OFF_PCT_PTS_PAINT_RANK,OFF_PCT_AST_2PM_RANK,OFF_PCT_UAST_2PM_RANK,OFF_PCT_AST_3PM_RANK,OFF_PCT_UAST_3PM_RANK,OFF_PCT_AST_FGM_RANK,OFF_PCT_UAST_FGM_RANK,split
"Frazier, Michael",3,2,1,0.667,8.5,0.415,0.585,0.39,0,0.366,0.049,0.244,0.22,0.39,0.625,0.375,0.8,0.2,0.692,0.308,13,13,1,5,12,14,3,13,12,13,13,4,5,6,3,13,6,11,4,13,17,11,6,0.647,46.8,0.482,0.518,0.416,0.034,0.423,0.134,0.161,0.168,0.382,0.375,0.625,0.745,0.255,0.525,0.475,1,1,6,4,8,6,15,10,9,10,10,11,12,13,12,8,12,9,15,6,Without
"Gordon, Eric",11,8,3,0.727,25.7,0.488,0.512,0.407,0.034,0.401,0.124,0.192,0.155,0.373,0.315,0.685,0.798,0.202,0.506,0.494,8,7,7,1,6,6,11,11,6,11,8,5,14,12,15,2,7,10,13,4,17,11,6,0.647,31.6,0.476,0.524,0.42,0.033,0.434,0.138,0.147,0.177,0.387,0.415,0.585,0.72,0.28,0.539,0.461,1,1,6,4,12,17,4,7,15,5,7,20,3,3,6,15,15,5,8,13,Without
"Green, Jeff",10,6,4,0.6,20.1,0.507,0.493,0.435,0.049,0.405,0.133,0.159,0.184,0.386,0.302,0.698,0.861,0.139,0.516,0.484,9,10,10,11,9,2,15,4,2,10,7,10,8,7,16,1,3,14,12,5,10,6,4,0.6,28.4,0.46,0.54,0.415,0.037,0.432,0.146,0.153,0.164,0.378,0.425,0.575,0.72,0.28,0.546,0.454,16,16,4,17,14,19,2,12,7,6,3,16,19,17,5,16,15,5,6,15,Without
"Harden, James",17,11,6,0.647,35.9,0.457,0.543,0.393,0.022,0.45,0.135,0.157,0.169,0.371,0.43,0.57,0.707,0.293,0.55,0.45,1,1,13,7,2,12,5,12,11,2,6,11,11,13,6,11,13,4,7,10,17,11,6,0.647,12.4,0.543,0.457,0.479,0.067,0.342,0.126,0.179,0.171,0.413,0.262,0.738,0.897,0.103,0.467,0.533,1,1,6,4,20,1,20,1,1,20,13,1,6,1,20,1,1,20,20,1,Without
"Hartenstein, Isaiah",3,2,1,0.667,6.1,0.412,0.588,0.37,0,0.333,0,0.296,0.259,0.37,0.8,0.2,0.667,0.333,0.75,0.25,13,13,1,5,15,15,2,15,12,14,14,3,4,14,1,16,15,2,2,15,17,11,6,0.647,47.2,0.482,0.518,0.416,0.034,0.423,0.134,0.161,0.168,0.382,0.375,0.625,0.747,0.253,0.526,0.474,1,1,6,4,6,8,13,9,11,9,9,12,13,11,14,7,10,11,14,7,Without
"House Jr., Danuel",17,11,6,0.647,29.1,0.488,0.512,0.423,0.026,0.42,0.156,0.157,0.168,0.397,0.388,0.612,0.735,0.265,0.526,0.474,1,1,13,7,5,7,10,5,10,7,1,12,12,5,9,8,9,8,11,6,17,11,6,0.647,19.2,0.468,0.532,0.404,0.043,0.425,0.1,0.171,0.172,0.361,0.369,0.631,0.763,0.237,0.531,0.469,1,1,6,4,17,18,3,16,3,8,17,3,5,19,15,6,8,13,9,12,Without
"Howard, William",2,1,1,0.5,6.6,0.364,0.636,0.333,0,0.333,0,0.333,0.278,0.333,0.667,0.333,1,0,0.8,0.2,16,15,1,14,13,16,1,16,12,14,14,1,2,16,2,15,1,15,1,16,17,11,6,0.647,47.5,0.482,0.518,0.416,0.033,0.423,0.134,0.161,0.168,0.382,0.378,0.622,0.745,0.255,0.526,0.474,1,1,6,4,5,7,14,8,12,11,11,10,11,9,11,10,13,7,11,10,Without
"McLemore, Ben",16,11,5,0.688,20.3,0.44,0.56,0.372,0.029,0.467,0.107,0.162,0.192,0.343,0.379,0.621,0.719,0.281,0.534,0.466,5,1,12,4,8,13,4,14,8,1,9,7,7,15,11,6,12,5,10,7,17,11,6,0.647,29.2,0.507,0.493,0.446,0.036,0.391,0.151,0.164,0.153,0.41,0.381,0.619,0.77,0.23,0.524,0.476,1,1,6,4,13,2,19,2,8,19,2,8,20,2,9,12,5,16,16,5,Without
"Rivers, Austin",17,11,6,0.647,22.9,0.477,0.523,0.416,0.036,0.429,0.105,0.155,0.171,0.38,0.348,0.652,0.728,0.272,0.503,0.497,1,1,13,7,7,8,9,9,5,4,10,13,9,10,12,5,10,7,15,2,17,11,6,0.647,25.4,0.483,0.517,0.414,0.031,0.416,0.158,0.17,0.168,0.383,0.409,0.591,0.764,0.236,0.552,0.448,1,1,6,4,15,5,16,13,16,15,1,4,15,7,7,14,7,14,5,16,Without
"Sefolosha, Thabo",10,7,3,0.7,12,0.498,0.502,0.445,0.033,0.419,0.1,0.136,0.15,0.412,0.328,0.672,0.643,0.357,0.45,0.55,9,9,7,2,11,4,13,3,7,8,11,16,16,3,14,3,16,1,16,1,17,11,6,0.647,41.2,0.477,0.523,0.41,0.033,0.423,0.139,0.168,0.173,0.377,0.39,0.61,0.765,0.235,0.543,0.457,1,1,6,4,10,16,5,15,14,12,6,6,4,18,8,13,6,15,7,14,Without
"Tucker, P.J.",17,11,6,0.647,32.7,0.469,0.531,0.409,0.027,0.431,0.137,0.16,0.158,0.382,0.407,0.593,0.724,0.276,0.538,0.462,1,1,13,7,3,10,7,10,9,3,5,9,13,9,8,9,11,6,9,8,17,11,6,0.647,15.6,0.503,0.497,0.428,0.046,0.404,0.124,0.168,0.193,0.382,0.329,0.671,0.795,0.205,0.509,0.491,1,1,6,4,19,3,18,3,2,18,14,5,1,10,18,3,2,19,18,3,Without
"Westbrook, Russell",13,9,4,0.692,36.2,0.538,0.462,0.454,0.053,0.379,0.15,0.167,0.154,0.401,0.341,0.659,0.803,0.197,0.506,0.494,7,6,10,3,1,1,16,2,1,12,3,6,15,4,13,4,5,12,14,3,17,11,6,0.647,20.6,0.397,0.603,0.36,0.005,0.482,0.108,0.157,0.191,0.356,0.45,0.55,0.684,0.316,0.56,0.44,1,1,6,4,16,20,1,20,20,1,16,14,2,20,1,20,20,1,1,20,Without
