group_set,group_value,fgm,fga,fg_pct,fg3m,fg3a,fg3_pct,efg_pct,blka,pct_ast_2pm,pct_uast_2pm,pct_ast_3pm,pct_uast_3pm,pct_ast_fgm,pct_uast_fgm,fgm_rank,fga_rank,fg_pct_rank,fg3m_rank,fg3a_rank,fg3_pct_rank,efg_pct_rank,blka_rank,pct_ast_2pm_rank,pct_uast_2pm_rank,pct_ast_3pm_rank,pct_uast_3pm_rank,pct_ast_fgm_rank,pct_uast_fgm_rank,cfid,cfparams,na,time
Shot Type,Putback Dunk Shot,4,4,1,0,0,0,1,0,0,1,0,0,0,1,32,35,1,8,9,8,1,1,33,1,7,8,36,1,174,Putback Dunk Shot,NA,B4
Shot Type,Putback Layup Shot,32,49,0.653,0,0,0,0.653,5,0,1,0,0,0,1,13,15,21,8,9,8,22,36,33,1,7,8,36,1,174,Putback Layup Shot,NA,B4
Shot Type,Reverse Layup Shot,12,26,0.462,0,0,0,0.462,4,0.667,0.333,0,0,0.667,0.333,24,22,29,8,9,8,34,33,14,30,7,8,15,28,174,Reverse Layup Shot,NA,B4
Shot Type,Running Alley Oop Dunk Shot,3,3,1,0,0,0,1,0,1,0,0,0,1,0,35,37,1,8,9,8,1,1,1,33,7,8,1,33,174,Running Alley Oop Dunk Shot,NA,B4
Shot Type,Running Alley Oop Layup Shot,2,3,0.667,0,0,0,0.667,0,1,0,0,0,1,0,38,37,18,8,9,8,18,1,1,33,7,8,1,33,174,Running Alley Oop Layup Shot,NA,B4
Shot Type,Running Dunk Shot,25,26,0.962,0,0,0,0.962,0,0.44,0.56,0,0,0.44,0.56,15,22,8,8,9,8,8,1,21,23,7,8,22,22,174,Running Dunk Shot,NA,B4
Shot Type,Running Finger Roll Layup Shot,16,21,0.762,0,0,0,0.762,1,0.5,0.5,0,0,0.5,0.5,22,25,13,8,9,8,13,23,18,24,7,8,19,23,174,Running Finger Roll Layup Shot,NA,B4
Shot Type,Running Jump Shot,6,13,0.462,5,10,0.5,0.654,1,0,1,0.8,0.2,0.667,0.333,30,29,29,4,4,2,21,23,33,1,2,6,15,28,174,Running Jump Shot,NA,B4
Shot Type,Running Layup Shot,76,122,0.623,0,0,0,0.623,12,0.303,0.697,0,0,0.303,0.697,7,7,22,8,9,8,23,39,26,18,7,8,28,16,174,Running Layup Shot,NA,B4
Shot Type,Running Pull-Up Jump Shot,5,11,0.455,3,7,0.429,0.591,0,0,1,0.667,0.333,0.4,0.6,31,32,32,5,5,4,24,1,33,1,3,5,23,20,174,Running Pull-Up Jump Shot,NA,B4
Shot Type,Running Reverse Dunk Shot,1,1,1,0,0,0,1,0,1,0,0,0,1,0,40,40,1,8,9,8,1,1,1,33,7,8,1,33,174,Running Reverse Dunk Shot,NA,B4
